# Avida time data
# Wed May 25 22:51:30 2011
#  1: update
#  2: avida time
#  3: average generation
#  4: num_executed?

0 0 0 30 
100 1.03093 7 2250 
200 2.0662 14.9432 13620 
300 3.10235 22.7434 36270 
